Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
56,2024-03-20,,11:00:00,21785.35,,,,,2024-03-20,,15:15:00,21842.25,1641.25,,,2938.0,-152.75,Exit Condition Met For Trade
56.1,2024-03-20,Wednesday,11:00:00,87.7,65,CE,21800.0,Sell,2024-03-20,Wednesday,11:42:00,105.25,-1140.7499999999998,-20.01140250855188,2024-03-21,,,Stop Loss Hit
56.2,2024-03-20,Wednesday,11:00:00,94.15,65,PE,21800.0,Sell,2024-03-20,Wednesday,15:15:00,51.35,2782.0000000000005,45.45937334041423,2024-03-21,,,Exit Condition Met For Trade
57,2024-03-21,,11:00:00,22058.15,,,,,2024-03-21,,11:40:00,22040.35,-822.25,,,344.5,-822.25,
57.1,2024-03-21,Thursday,11:00:00,28.9,65,CE,22050.0,Sell,2024-03-21,Thursday,11:02:00,34.7,-377.0000000000003,-20.069204152249153,2024-03-21,,,Stop Loss Hit
57.2,2024-03-21,Thursday,11:00:00,34.2,65,PE,22050.0,Sell,2024-03-21,Thursday,11:40:00,41.05,-445.24999999999966,-20.029239766081854,2024-03-21,,,Stop Loss Hit
58,2024-03-22,,11:00:00,22037.7,,,,,2024-03-22,,15:15:00,22079.65,-572.0,,,1267.5,-1722.5,Exit Condition Met For Trade
58.1,2024-03-22,Friday,11:00:00,172.0,65,CE,22050.0,Sell,2024-03-22,Friday,11:38:00,206.4,-2236.0000000000005,-20.000000000000004,2024-03-28,,,Stop Loss Hit
58.2,2024-03-22,Friday,11:00:00,107.15,65,PE,22050.0,Sell,2024-03-22,Friday,15:15:00,81.55,1664.0000000000005,23.891740550629965,2024-03-28,,,Exit Condition Met For Trade
59,2024-03-26,,11:00:00,22032.3,,,,,2024-03-26,,15:15:00,22003.8,-1488.5,,,451.75,-1758.25,Exit Condition Met For Trade
59.1,2024-03-26,Tuesday,11:00:00,130.0,65,CE,22050.0,Sell,2024-03-26,Tuesday,13:01:00,156.0,-1690.0,-20.0,2024-03-28,,,Stop Loss Hit
59.2,2024-03-26,Tuesday,11:00:00,84.45,65,PE,22050.0,Sell,2024-03-26,Tuesday,15:15:00,81.35,201.50000000000057,3.6708111308466647,2024-03-28,,,Exit Condition Met For Trade
60,2024-03-27,,11:00:00,22149.1,,,,,2024-03-27,,15:15:00,22116.15,2947.75,,,2947.75,-286.0,Exit Condition Met For Trade
60.1,2024-03-27,Wednesday,11:00:00,99.75,65,CE,22150.0,Sell,2024-03-27,Wednesday,15:15:00,59.7,2603.25,40.15037593984962,2024-03-28,,,Exit Condition Met For Trade
60.2,2024-03-27,Wednesday,11:00:00,59.4,65,PE,22150.0,Sell,2024-03-27,Wednesday,15:15:00,54.1,344.49999999999983,8.922558922558919,2024-03-28,,,Exit Condition Met For Trade
61,2024-03-28,,11:00:00,22346.45,,,,,2024-03-28,,11:56:00,22338.05,-1287.0,,,0,-1287.0,
61.1,2024-03-28,Thursday,11:00:00,62.65,65,CE,22350.0,Sell,2024-03-28,Thursday,11:02:00,75.2,-815.7500000000002,-20.0319233838787,2024-03-28,,,Stop Loss Hit
61.2,2024-03-28,Thursday,11:00:00,36.3,65,PE,22350.0,Sell,2024-03-28,Thursday,11:56:00,43.55,-471.25,-19.97245179063361,2024-03-28,,,Stop Loss Hit
62,2024-04-01,,11:00:00,22477.05,,,,,2024-04-01,,15:15:00,22464.05,-393.25,,,760.5,-1111.5,Exit Condition Met For Trade
62.1,2024-04-01,Monday,11:00:00,116.85,65,CE,22500.0,Sell,2024-04-01,Monday,15:15:00,99.45,1130.9999999999995,14.890885750962767,2024-04-04,,,Exit Condition Met For Trade
62.2,2024-04-01,Monday,11:00:00,117.2,65,PE,22500.0,Sell,2024-04-01,Monday,13:08:00,140.65,-1524.2500000000002,-20.008532423208194,2024-04-04,,,Stop Loss Hit
63,2024-04-02,,11:00:00,22400.75,,,,,2024-04-02,,15:15:00,22452.3,1186.25,,,1264.25,-403.0,Exit Condition Met For Trade
63.1,2024-04-02,Tuesday,11:00:00,95.55,65,CE,22400.0,Sell,2024-04-02,Tuesday,11:06:00,114.65,-1241.5000000000005,-19.98953427524857,2024-04-04,,,Stop Loss Hit
63.2,2024-04-02,Tuesday,11:00:00,96.9,65,PE,22400.0,Sell,2024-04-02,Tuesday,15:15:00,59.55,2427.7500000000005,38.54489164086688,2024-04-04,,,Exit Condition Met For Trade
64,2024-04-03,,11:00:00,22444.65,,,,,2024-04-03,,15:15:00,22430.7,-113.75,,,2187.25,-555.75,Exit Condition Met For Trade
64.1,2024-04-03,Wednesday,11:00:00,57.0,65,CE,22450.0,Sell,2024-04-03,Wednesday,11:26:00,68.4,-741.0000000000003,-20.000000000000007,2024-04-04,,,Stop Loss Hit
64.2,2024-04-03,Wednesday,11:00:00,83.0,65,PE,22450.0,Sell,2024-04-03,Wednesday,15:15:00,73.35,627.2500000000003,11.626506024096392,2024-04-04,,,Exit Condition Met For Trade
65,2024-04-04,,11:00:00,22362.95,,,,,2024-04-04,,11:14:00,22395.85,-1420.25,,,214.5,-1420.25,
65.1,2024-04-04,Thursday,11:00:00,48.7,65,CE,22350.0,Sell,2024-04-04,Thursday,11:14:00,58.45,-633.75,-20.02053388090349,2024-04-04,,,Stop Loss Hit
65.2,2024-04-04,Thursday,11:00:00,60.6,65,PE,22350.0,Sell,2024-04-04,Thursday,11:07:00,72.7,-786.5000000000001,-19.96699669966997,2024-04-04,,,Stop Loss Hit
66,2024-04-05,,11:00:00,22506.4,,,,,2024-04-05,,15:15:00,22515.45,1254.5,,,1498.25,0,Exit Condition Met For Trade
66.1,2024-04-05,Friday,11:00:00,134.55,65,CE,22500.0,Sell,2024-04-05,Friday,15:15:00,133.0,100.75000000000074,1.151988108509856,2024-04-10,,,Exit Condition Met For Trade
66.2,2024-04-05,Friday,11:00:00,119.75,65,PE,22500.0,Sell,2024-04-05,Friday,15:15:00,102.0,1153.75,14.822546972860126,2024-04-10,,,Exit Condition Met For Trade
67,2024-04-08,,11:00:00,22629.3,,,,,2024-04-08,,15:15:00,22671.15,689.0,,,1173.25,-198.25,Exit Condition Met For Trade
67.1,2024-04-08,Monday,11:00:00,90.9,65,CE,22650.0,Sell,2024-04-08,Monday,12:37:00,109.1,-1182.9999999999993,-20.022002200220008,2024-04-10,,,Stop Loss Hit
67.2,2024-04-08,Monday,11:00:00,103.2,65,PE,22650.0,Sell,2024-04-08,Monday,15:15:00,74.4,1871.9999999999998,27.906976744186043,2024-04-10,,,Exit Condition Met For Trade
68,2024-04-09,,11:00:00,22746.95,,,,,2024-04-09,,15:15:00,22641.55,2723.5,,,2938.0,0,Exit Condition Met For Trade
68.1,2024-04-09,Tuesday,11:00:00,78.6,65,CE,22750.0,Sell,2024-04-09,Tuesday,15:15:00,24.0,3548.9999999999995,69.46564885496183,2024-04-10,,,Exit Condition Met For Trade
68.2,2024-04-09,Tuesday,11:00:00,63.6,65,PE,22750.0,Sell,2024-04-09,Tuesday,12:14:00,76.3,-825.4999999999998,-19.96855345911949,2024-04-10,,,Stop Loss Hit
69,2024-04-10,,11:00:00,22702.75,,,,,2024-04-10,,11:21:00,22688.25,-854.75,,,58.5,-854.75,
69.1,2024-04-10,Wednesday,11:00:00,39.75,65,CE,22700.0,Sell,2024-04-10,Wednesday,11:05:00,47.7,-516.7500000000002,-20.000000000000007,2024-04-10,,,Stop Loss Hit
69.2,2024-04-10,Wednesday,11:00:00,25.95,65,PE,22700.0,Sell,2024-04-10,Wednesday,11:21:00,31.15,-337.99999999999994,-20.03853564547206,2024-04-10,,,Stop Loss Hit
70,2024-04-12,,11:00:00,22659.4,,,,,2024-04-12,,12:37:00,22608.35,-3090.75,,,237.25,-3090.75,
70.1,2024-04-12,Friday,11:00:00,126.3,65,CE,22650.0,Sell,2024-04-12,Friday,11:59:00,151.55,-1641.250000000001,-19.992082343626297,2024-04-18,,,Stop Loss Hit
70.2,2024-04-12,Friday,11:00:00,111.5,65,PE,22650.0,Sell,2024-04-12,Friday,12:37:00,133.8,-1449.5000000000007,-20.000000000000007,2024-04-18,,,Stop Loss Hit
71,2024-04-15,,11:00:00,22424.55,,,,,2024-04-15,,15:15:00,22270.0,5086.25,,,5304.0,0,Exit Condition Met For Trade
71.1,2024-04-15,Monday,11:00:00,159.15,65,CE,22400.0,Sell,2024-04-15,Monday,15:15:00,64.5,6152.25,59.47219604147031,2024-04-18,,,Exit Condition Met For Trade
71.2,2024-04-15,Monday,11:00:00,82.0,65,PE,22400.0,Sell,2024-04-15,Monday,11:13:00,98.4,-1066.0000000000005,-20.000000000000007,2024-04-18,,,Stop Loss Hit
72,2024-04-16,,11:00:00,22198.95,,,,,2024-04-16,,15:15:00,22168.9,-269.75,,,1631.5,-269.75,Exit Condition Met For Trade
72.1,2024-04-16,Tuesday,11:00:00,77.85,65,CE,22200.0,Sell,2024-04-16,Tuesday,15:15:00,64.85,845.0,16.698779704560053,2024-04-18,,,Exit Condition Met For Trade
